,oe_test_audit_user_build_connection,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_user_build_connection/2023-05-25-22_37_42.log,x86 fail
,oe_test_aulastlog,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_aulastlog/2023-05-25-22_58_53.log,x86 fail
,oe_test_inject_time_fault,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_inject_time_fault/2023-05-25-22_55_53.log,x86 fail
,oe_test_service_auditd,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_service_auditd/2023-05-25-22_57_10.log,x86 fail
,oe_test_start_audit,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_start_audit/2023-05-25-22_58_18.log,x86 fail
chrony,oe_test_service_chrony-wait,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/chrony/oe_test_service_chrony-wait/2023-05-25-14:09:34.log,x86 fail
cmake,oe_test_ccmake,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/cmake/oe_test_ccmake/2023-05-25-15:21:43.log,x86 fail
,oe_test_ccmake3,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/cmake/oe_test_ccmake3/2023-05-25-15:25:48.log,x86 fail
cockpit,oe_test_service_cockpit,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/cockpit/oe_test_service_cockpit/2023-05-25-17:34:10.log,x86 fail
,oe_test_socket_cockpit,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/cockpit/oe_test_socket_cockpit/2023-05-25-17:36:31.log,x86 fail
crontabs,oe_test_crontabs,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/crontabs/oe_test_crontabs/2023-05-25-16_38_51.log,x86 fail
dbxtool,oe_test_service_dbxtool,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dbxtool/oe_test_service_dbxtool/2023-05-25-21:05:52.log,x86 fail
dhcp,oe_test_service_dhcpd,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dhcp/oe_test_service_dhcpd/2023-05-25-21:39:19.log,x86 fail
,oe_test_service_dhcpd6,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dhcp/oe_test_service_dhcpd6/2023-05-25-21:38:13.log,x86 fail
