测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_hivex_hivexsh_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/hivex/oe_test_hivex_hivexsh_02/2023-05-26-22:48:29.log,None
hsqldb,oe_test_service_hsqldb,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/hsqldb/oe_test_service_hsqldb/2023-05-26-22:52:44.log,None
htslib,oe_test_htslib_bgzip_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/htslib/oe_test_htslib_bgzip_01/2023-05-26-23:06:51.log,None
,oe_test_htslib_bgzip_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/htslib/oe_test_htslib_bgzip_02/2023-05-26-23:09:00.log,None
,oe_test_htslib_htsfile,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/htslib/oe_test_htslib_htsfile/README.md,None
,oe_test_htslib_tabix,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/htslib/oe_test_htslib_tabix/2023-05-26-23:12:58.log,None
httpry,oe_test_httpry_02,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/httpry/oe_test_httpry_02/2023-06-26-02:50:03.log,x86 fail
,oe_test_httpry_01,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/httpry/oe_test_httpry_01/2023-06-26-02:47:21.log,x86 fail
Keras,oe_test_Keras,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/Keras/oe_test_Keras/2023-06-26-03:14:08.log,x86 fail
ipwatchd,oe_test_service_ipwatchd,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ipwatchd/oe_test_service_ipwatchd/2023-06-02-04:11:12.log,None
isula-build,oe_test_service_isula-build,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/isula-build/oe_test_service_isula-build/2023-06-02-04:14:41.log,None
jemalloc,oe_test_jemalloc_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/jemalloc/oe_test_jemalloc_01/2023-06-02-05:51:48.log,None
,oe_test_jemalloc_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/jemalloc/oe_test_jemalloc_02/2023-06-02-05:52:48.log,None
jq,oe_test_jq,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/jq/oe_test_jq/2023-06-02-05:56:31.log,None
kf5-kconfig-core,oe_test_kf5-kconfig-core_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/kf5-kconfig-core/oe_test_kf5-kconfig-core_01/2023-06-02-07:14:06.log,None
ksh,oe_test_ksh,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ksh/oe_test_ksh/2023-06-02-07:28:04.log,None
libhangul,oe_test_libhangul_hangul,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/libhangul/oe_test_libhangul_hangul/2023-06-02-09:07:24.log,None
libwbxml,oe_test_libwbxml_wbxml2xml,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/libwbxml/oe_test_libwbxml_wbxml2xml/2023-06-02-12:20:34.log,None
,oe_test_libwbxml_xml2wbxml,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/libwbxml/oe_test_libwbxml_xml2wbxml/2023-06-02-12:21:36.log,None
libzip,oe_test_libzip_zipcmp,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/libzip/oe_test_libzip_zipcmp/2023-06-02-12:37:49.log,None
,oe_test_libzip_zipmerge,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/libzip/oe_test_libzip_zipmerge/2023-06-02-12:38:50.log,None
,oe_test_libzip_ziptool,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/libzip/oe_test_libzip_ziptool/2023-06-02-12:39:42.log,None
lsyncd,oe_test_service_lsyncd,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/lsyncd/oe_test_service_lsyncd/2023-06-02-13:52:55.log,None
,oe_test_rsync_lsyncd,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/lsyncd/oe_test_rsync_lsyncd/2023-06-02-13:54:51.log,None
,oe_test_direct_lsyncd,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/lsyncd/oe_test_direct_lsyncd/2023-06-02-13:55:59.log,None
,oe_test_rsyncssh_lsyncd,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/lsyncd/oe_test_rsyncssh_lsyncd/2023-06-02-13:57:07.log,None
,oe_test_command_lsyncd,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/lsyncd/oe_test_command_lsyncd/2023-06-02-13:58:39.log,None
lua-lunit,oe_test_lua-lunit_base,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/lua-lunit/oe_test_lua-lunit_base/2023-06-02-14:04:28.log,None
mac-robber,oe_test_mac-robber,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/mac-robber/oe_test_mac-robber/2023-06-02-15:13:13.log,None
