测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_firewalld_dnat,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_dnat/2023-05-26-15:40:07.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_dropzone_service,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_dropzone_service/2023-05-26-15:43:02.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_forward_nat,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_forward_nat/2023-05-26-15:45:27.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_getzone,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_getzone/2023-05-26-15:46:10.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_ip_camouflage,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_ip_camouflage/2023-05-26-15:46:36.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_list,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_list/2023-05-26-15:47:04.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_lockdown,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_lockdown/2023-05-26-15:47:31.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_log_denied,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_log_denied/2023-05-26-15:47:57.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_new_zone,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_new_zone/2023-05-26-15:50:38.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_panic_on,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_panic_on/2023-05-26-15:51:05.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_port_map,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_port_map/2023-05-26-15:51:48.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_protocol_tcp,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_protocol_tcp/2023-05-26-15:54:01.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_richrule_acceptsource,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_acceptsource/2023-05-26-15:56:16.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
