测试套/软件包名,测试用例名,状态,日志文件,原因,x86 日志文件,x86 原因
meson_0.63,oe_test_meson_0.63_meson_13,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_13/2023-06-25-13_04_38.log,,,
meson_0.63,oe_test_meson_0.63_meson_15,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_15/2023-06-25-13_17_44.log,,,
meson_0.63,oe_test_meson_0.63_meson_07,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_07/2023-06-25-12_39_39.log,,,
meson_0.63,oe_test_meson_0.63_meson_01,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_01/2023-06-25-12_15_27.log,,,
meson_0.63,oe_test_meson_0.63_meson_05,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_05/2023-06-25-12_30_07.log,,,
meson_0.63,oe_test_meson_0.63_meson_06,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_06/2023-06-25-12_35_15.log,,,
meson_0.63,oe_test_meson_0.63_meson_24,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_24/2023-06-25-13_53_39.log,,,
meson_0.63,oe_test_meson_0.63_meson_03,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_03/2023-06-25-12_23_17.log,,,
meson_0.63,oe_test_meson_0.63_meson_18,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_18/2023-06-25-13_32_15.log,,,
meson_0.63,oe_test_meson_0.63_meson_22,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_22/2023-06-25-13_48_53.log,,,
meson_0.63,oe_test_meson_0.63_meson_12,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_12/2023-06-25-12_56_06.log,,,
meson_0.63,oe_test_meson_0.63_meson_08,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_08/2023-06-25-12_43_22.log,,,
meson_0.63,oe_test_meson_0.63_meson_23,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_23/2023-06-25-13_51_04.log,,,
meson_0.63,oe_test_meson_0.63_meson_21,fail,./riscv/logs_failed/meson_0.63/oe_test_meson_0.63_meson_21/2023-06-25-13_46_28.log,unknown,,
rubygem-asciidoctor,oe_test_rubygem-asciidoctor_asciidoctor_02,success,./riscv/logs/rubygem-asciidoctor/oe_test_rubygem-asciidoctor_asciidoctor_02/2023-06-25-16_32_37.log,,,
rubygem-asciidoctor,oe_test_rubygem-asciidoctor_asciidoctor_01,success,./riscv/logs/rubygem-asciidoctor/oe_test_rubygem-asciidoctor_asciidoctor_01/2023-06-25-16_29_57.log,,,
rubygem-asciidoctor,oe_test_rubygem-asciidoctor_asciidoctor_03,success,./riscv/logs/rubygem-asciidoctor/oe_test_rubygem-asciidoctor_asciidoctor_03/2023-06-25-16_35_19.log,,,
rubygem-fluentd_1.14.5,oe_test_fluent_plugin_generate,success,./riscv/logs/rubygem-fluentd_1.14.5/oe_test_fluent_plugin_generate/2023-06-25-14_13_49.log,,,
rubygem-fluentd_1.14.5,oe_test_fluent_ca_generate,success,./riscv/logs/rubygem-fluentd_1.14.5/oe_test_fluent_ca_generate/2023-06-25-12_32_39.log,,,
rubygem-fluentd_1.14.5,oe_test_fluent_plugin_config_format,success,./riscv/logs/rubygem-fluentd_1.14.5/oe_test_fluent_plugin_config_format/2023-06-25-14_07_29.log,,,
rubygem-fluentd_1.14.5,oe_test_fluentd_04,success,./riscv/logs/rubygem-fluentd_1.14.5/oe_test_fluentd_04/2023-06-25-13_34_03.log,,,
rubygem-fluentd_1.14.5,oe_test_fluent_cat_01,success,./riscv/logs/rubygem-fluentd_1.14.5/oe_test_fluent_cat_01/2023-06-25-12_36_30.log,,,
rubygem-fluentd_1.14.5,oe_test_fluent_gem_03,success,./riscv/logs/rubygem-fluentd_1.14.5/oe_test_fluent_gem_03/2023-06-25-13_59_51.log,,,
rubygem-fluentd_1.14.5,oe_test_fluent_gem_01,success,./riscv/logs/rubygem-fluentd_1.14.5/oe_test_fluent_gem_01/2023-06-25-13_42_48.log,,,
rubygem-fluentd_1.14.5,oe_test_fluent_binlog_reader,success,./riscv/logs/rubygem-fluentd_1.14.5/oe_test_fluent_binlog_reader/2023-06-25-12_27_50.log,,,
rubygem-fluentd_1.14.5,oe_test_fluent_ctl,fail,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluent_ctl/2023-06-25-12_50_45.log,unknown,,
rubygem-fluentd_1.14.5,oe_test_fluentd_03,x86 fail,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluentd_03/2023-06-25-13_30_24.log,"file missing
",./x86/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluentd_03/2023-06-28-13_42_25.log,unknown
