测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_binutils_nm,success,./mugen-riscv/logs/binutils/oe_test_binutils_nm/2023-05-25-16_34_44.log,None
,oe_test_binutils_objcopy,success,./mugen-riscv/logs/binutils/oe_test_binutils_objcopy/2023-05-25-16_29_47.log,None
,oe_test_binutils_objdump,success,./mugen-riscv/logs/binutils/oe_test_binutils_objdump/2023-05-25-16_35_27.log,None
,oe_test_binutils_readelf,success,./mugen-riscv/logs/binutils/oe_test_binutils_readelf/2023-05-25-16_36_03.log,None
,oe_test_binutils_size,success,./mugen-riscv/logs/binutils/oe_test_binutils_size/2023-05-25-16_32_22.log,None
,oe_test_binutils_strip,success,./mugen-riscv/logs/binutils/oe_test_binutils_strip/2023-05-25-16_33_00.log,None
bluez,oe_test_service_bluetooth-mesh,success,./mugen-riscv/logs/bluez/oe_test_service_bluetooth-mesh/2023-05-25-13:40:17.log,None
,oe_test_service_bluetooth,success,./mugen-riscv/logs/bluez/oe_test_service_bluetooth/2023-05-25-13:40:53.log,None
bolt,oe_test_service_bolt,success,./mugen-riscv/logs/bolt/oe_test_service_bolt/2023-05-25-13:45:27.log,None
brltty,oe_test_service_brltty,success,./mugen-riscv/logs/brltty/oe_test_service_brltty/2023-05-25-13:48:23.log,None
byacc,oe_test_byacc_byacc_01,success,./mugen-riscv/logs/byacc/oe_test_byacc_byacc_01/2023-05-25-13:53:59.log,None
,oe_test_byacc_byacc_02,success,./mugen-riscv/logs/byacc/oe_test_byacc_byacc_02/2023-05-25-13:56:37.log,None
,oe_test_byacc_yacc_01,success,./mugen-riscv/logs/byacc/oe_test_byacc_yacc_01/2023-05-25-13:59:17.log,None
,oe_test_byacc_yacc_02,success,./mugen-riscv/logs/byacc/oe_test_byacc_yacc_02/2023-05-25-14:01:43.log,None
bzip2,oe_test_bzip2,success,./mugen-riscv/logs/bzip2/oe_test_bzip2/2023-05-25-16_31_35.log,None
cgdcbxd,oe_test_service_cgdcbxd,success,./mugen-riscv/logs/cgdcbxd/oe_test_service_cgdcbxd/2023-05-25-14:07:21.log,None
clang,oe_test_clang_01,success,./mugen-riscv/logs/clang/oe_test_clang_01/2023-05-25-14:15:53.log,None
,oe_test_clang_02,success,./mugen-riscv/logs/clang/oe_test_clang_02/2023-05-25-14:23:46.log,None
,oe_test_clang_03,success,./mugen-riscv/logs/clang/oe_test_clang_03/2023-05-25-14:30:41.log,None
cloud-init,oe_test_service_cloud-config,success,./mugen-riscv/logs/cloud-init/oe_test_service_cloud-config/2023-05-25-14:40:03.log,None
,oe_test_service_cloud-final,success,./mugen-riscv/logs/cloud-init/oe_test_service_cloud-final/2023-05-25-14:47:52.log,None
,oe_test_service_cloud-init-local,success,./mugen-riscv/logs/cloud-init/oe_test_service_cloud-init-local/2023-05-25-14:55:04.log,None
,oe_test_service_cloud-init,success,./mugen-riscv/logs/cloud-init/oe_test_service_cloud-init/2023-05-25-15:01:57.log,None
,oe_test_target_cloud-config,success,./mugen-riscv/logs/cloud-init/oe_test_target_cloud-config/2023-05-25-15:08:53.log,None
,oe_test_target_cloud-init,success,./mugen-riscv/logs/cloud-init/oe_test_target_cloud-init/2023-05-25-15:13:39.log,None
colm,oe_test_colm,success,./mugen-riscv/logs/colm/oe_test_colm/2023-05-25-17:42:11.log,None
colord,oe_test_service_colord,success,./mugen-riscv/logs/colord/oe_test_service_colord/2023-05-25-17:48:32.log,None
cpio,oe_test_cpio,success,./mugen-riscv/logs/cpio/oe_test_cpio/2023-05-25-16_32_24.log,None
