Test Start Time: Fri May 19 13:36:45 2023
-----------------------------------------
Testcase                                           Result     Exit Value
fcntl36_64                                         CONF       32   
fcntl37                                            CONF       32   
fcntl37_64                                         CONF       32   
fcntl38                                            CONF       32   
fcntl38_64                                         CONF       32   
fcntl39                                            CONF       32   
fcntl39_64                                         CONF       32   
fdatasync01                                        CONF       32   
fdatasync02                                        CONF       32   
fdatasync03                                        CONF       32   
fgetxattr01                                        CONF       32   
fgetxattr02                                        CONF       32   
fgetxattr03                                        CONF       32   
finit_module01                                     CONF       32   
finit_module02                                     CONF       32   
flistxattr01                                       CONF       32   
flistxattr02                                       CONF       32   
flistxattr03                                       CONF       32   
flock01                                            CONF       32   
flock02                                            CONF       32   
flock03                                            CONF       32   
flock04                                            CONF       32   
flock06                                            CONF       32   
fmtmsg01                                           CONF       32   
fork01                                             CONF       32   
fork03                                             CONF       32   
fork04                                             CONF       32   
fork05                                             CONF       32   
fork06                                             CONF       32   
fork07                                             CONF       32   
fork08                                             CONF       32   
fork09                                             CONF       32   
fork10                                             CONF       32   
fork11                                             CONF       32   
fork13                                             CONF       32   
fork14                                             CONF       32   
fpathconf01                                        CONF       32   
fremovexattr01                                     CONF       32   
fremovexattr02                                     CONF       32   
fsconfig01                                         CONF       32   
fsconfig02                                         CONF       32   
fsconfig03                                         CONF       32   
fsmount01                                          CONF       32   
fsmount02                                          CONF       32   
fsopen01                                           CONF       32   
fsopen02                                           CONF       32   
fspick01                                           CONF       32   
fspick02                                           CONF       32   
fstat02                                            CONF       32   
fstat02_64                                         CONF       32   
fstat03                                            CONF       32   
fstat03_64                                         CONF       32   
fstatat01                                          CONF       32   
fstatfs01                                          CONF       32   
fstatfs01_64                                       CONF       32   
fstatfs02                                          CONF       32   
fstatfs02_64                                       CONF       32   
fsync01                                            CONF       32   
fsync02                                            CONF       32   
fsync03                                            CONF       32   
fsync04                                            CONF       32   
ftruncate01                                        CONF       32   
ftruncate01_64                                     CONF       32   
ftruncate03                                        CONF       32   
ftruncate03_64                                     CONF       32   
ftruncate04                                        CONF       32   
ftruncate04_64                                     CONF       32   
futimesat01                                        CONF       32   
getcontext01                                       CONF       32   
getcpu01                                           CONF       32   
getcwd01                                           CONF       32   
getcwd02                                           CONF       32   
getcwd03                                           CONF       32   
getcwd04                                           CONF       32   
getdents01                                         CONF       32   
getdents02                                         CONF       32   
getdomainname01                                    CONF       32   
getdtablesize01                                    CONF       32   
getegid01                                          CONF       32   
getegid01_16                                       CONF       32   
getegid02                                          CONF       32   
getegid02_16                                       CONF       32   
geteuid01                                          CONF       32   
geteuid01_16                                       CONF       32   
geteuid02                                          CONF       32   
geteuid02_16                                       CONF       32   
getgid01                                           CONF       32   
getgid01_16                                        CONF       32   
getgid03                                           CONF       32   
getgid03_16                                        CONF       32   
getgroups01                                        CONF       32   
getgroups01_16                                     CONF       32   
getgroups03                                        CONF       32   
getgroups03_16                                     CONF       32   
gethostbyname_r01                                  CONF       32   
gethostid01                                        CONF       32   
gethostname01                                      CONF       32   
getitimer01                                        CONF       32   
getitimer02                                        CONF       32   
getpagesize01                                      CONF       32   
getpeername01                                      CONF       32   
getpgid01                                          CONF       32   
getpgid02                                          CONF       32   
getpgrp01                                          CONF       32   
getpid01                                           CONF       32   
getpid02                                           CONF       32   
getppid01                                          CONF       32   
getppid02                                          CONF       32   
getpriority01                                      CONF       32   
getpriority02                                      CONF       32   
getrandom01                                        CONF       32   
getrandom02                                        CONF       32   
getrandom03                                        CONF       32   
getrandom04                                        CONF       32   
getresgid01                                        CONF       32   
getresgid01_16                                     CONF       32   
getresgid02                                        CONF       32   
getresgid02_16                                     CONF       32   
getresgid03                                        CONF       32   
getresgid03_16                                     CONF       32   
getresuid01                                        CONF       32   
getresuid01_16                                     CONF       32   
getresuid02                                        CONF       32   
getresuid02_16                                     CONF       32   
getresuid03                                        CONF       32   
getresuid03_16                                     CONF       32   
getrlimit01                                        CONF       32   
getrlimit02                                        CONF       32   
getrlimit03                                        CONF       32   
get_mempolicy01                                    CONF       32   
get_mempolicy02                                    CONF       32   
get_robust_list01                                  CONF       32   
getrusage01                                        CONF       32   
getrusage02                                        CONF       32   
getrusage03                                        CONF       32   
getrusage04                                        CONF       32   
getsid01                                           CONF       32   
getsid02                                           CONF       32   
getsockname01                                      CONF       32   
getsockopt01                                       CONF       32   
getsockopt02                                       CONF       32   
gettid01                                           CONF       32   
gettimeofday01                                     CONF       32   
gettimeofday02                                     CONF       32   
getuid01                                           CONF       32   
getuid01_16                                        CONF       32   
getuid03                                           CONF       32   
getuid03_16                                        CONF       32   
getxattr01                                         CONF       32   
getxattr02                                         CONF       32   
getxattr03                                         CONF       32   
getxattr04                                         CONF       32   
getxattr05                                         CONF       32   
init_module01                                      CONF       32   
init_module02                                      CONF       32   
ioctl01_02                                         CONF       32   
ioctl03                                            CONF       32   
ioctl04                                            CONF       32   
ioctl05                                            CONF       32   
ioctl06                                            CONF       32   
ioctl07                                            CONF       32   
ioctl08                                            CONF       32   
