测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_server_vsftpd_NKdelay,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_server_vsftpd_NKdelay/2023-04-28-04:18:57.log,测试环境问题，需要重测
,oe_test_server_vsftpd_transfer,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_server_vsftpd_transfer/2023-04-28-04:13:38.log,测试环境问题，需要重测
,oe_test_sos,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_sos/2023-04-28-05:25:07.log,qemu 运行速度问题，需要重测
,oe_test_system_log_recorded,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_system_log_recorded/2023-04-28-04:12:23.log,测试套问题， x86 和 riscv 原因基本一致 [详细分析](./cause_md/os-basic/oe_test_system_log_recorded.md)
,oe_test_system_monitor_login,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_system_monitor_login/2023-04-28-04:11:08.log,测试环境问题，需要重测
,oe_test_system_monitor_reboot,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_system_monitor_reboot/2023-04-28-03:40:46.log,测试环境问题，需要重测
,oe_test_uname,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_uname/2023-04-28-03:40:18.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/os-basic/oe_test_uname.md)
,oe_test_whereis,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_whereis/2023-04-28-03:29:34.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_whereis.md)
,oe_test_count_gperftools_function,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_count_gperftools_function/2023-04-28-10:58:54.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/os-basic/oe_test_count_gperftools_function.md)
,oe_test_disk_graphics_card,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_disk_graphics_card/2023-04-28-10:05:30.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/os-basic/oe_test_disk_graphics_card.md)
acl,oe_test_access_providepam,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/acl/oe_test_access_providepam/2023-05-25-16_28_24.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/acl/oe_test_access_providepam.md)
anaconda,oe_test_service_zram,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/anaconda/oe_test_service_zram/2023-05-25-21_41_44.log,测试套问题， x86 和 riscv 原因一致，没有软件包提供 zram.service
audit,oe_test_audit_ausearch,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_ausearch/2023-05-25-22_58_32.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/audit/oe_test_audit_ausearch.md)
,oe_test_audit_available_disk_space,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_available_disk_space/2023-05-25-22_51_28.log,测试套问题， x86 和 riscv 原因基本一致，[详细分析](./cause_md/audit/oe_test_audit_available_disk_space.md)
